gene	alias	category	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category2
CD81	CD81	Tetraspanin	B	Other	Other	Tetraspanin	B		NA	Other
CD82	CD82	Glycoprotein	B	Other	Other	Glycoprotein	B		NA	Other
CD86	CD86	Costimulatoryligand	NA	NA		Costimulatoryligand	NA		NA	NA
CD8A	CD8	TCRco-R	A	Receptor	Other	CD8Tcells	A		NA	Receptor
CTLA4	CTLA-4	CoinhibitoryR	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor
CX3CL1	"Fractalkine,Neurotactin,ABCD-3"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CX3CR1	CX3CR1	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCL1	"Gro-a,GRO1,NAP-3,KC"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL10	"IP-10,CRG-2"	Chemokine	C	Chemokine	Other	Chemokine	C		Activation	Chemokine
CXCL11	"I-TAC,-R1,IP-9"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL12	"SDF-1,PBSF"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL13	"BCA-1,BLC"	Chemokine	C	Chemokine	Other	Chemokine	C		Activation	Chemokine
CXCL14	"BRAK,bolekine"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CXCL15	"Lungkine,WECHE"	Chemokine	NA	NA		Chemokine	NA		NA	NA
CXCL16	SRPSOX	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL17	"DMC,VCC-1"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL2	"Gro-,GRO2,MIP-2a"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL3	"Gro-?,GRO3,MIP-2"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL4	PF-4	Chemokine	NA	NA		Chemokine	NA		NA	NA
CXCL5	ENA-78	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL6	GCP-2	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL7	"NAP-2,CTAPIII,-Ta,PEP"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL8	"IL-8,NAP-1,MDNCF,GCP-1"	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine
CXCL9	CXCL9	NA	NA	Chemokine	Other	NA	NA		Activation	Chemokine
CXCR1	CXCR1	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR2	CXCR2	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR3	CXCR3	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR3B	CXCR3B	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR4	CXCR4	ChemokineR4	NA	NA		ChemokineR.4	NA		NA	NA
CXCR5	CXCR5	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR6	CXCR6	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
CXCR7	CXCR7	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors
EOMES	Eomes	ImmuneModulator/Memory	NA	NA		ImmuneModulator/Memory	NA		NA	NA
ERAP1	ARTS-1	PeptidetrimminginER	B	Ag presentation	Other	PeptidetrimminginER	B		NA	Ag presentation
ERAP2	LRAP	PeptidetrimminginER	B	Ag presentation	Other	PeptidetrimminginER	NA		NA	Ag presentation
FAS	CD95	TNF	B	Other	Other	NA	B		NA	Other
FCGR1A	CD64	HighaffinityFCGR1a	NA	NA		HighaffinityFCGR1a	NA		NA	NA
FCGR2A	CD32	LowaffinityFCGR2a	B	Other	Other	LowaffinityFCGR2a	B		NA	Other
FCGR3A	CD16	LowaffinityFCGR3a	B	Other	Other	LowaffinityFCGR3a	B		NA	Other
FOXP3	FOXP3	TReg	A	Other	Inhibitory	TRegmasterregulator	A		Inhibitory	Other
FUT4	CD15	Granulocyte	NA	NA		Granulocyte	NA		NA	NA
GAPDH	GAPDH	housekeeping	NA	NA		housekeeping	NA		NA	NA
GZMB	NA	Tcell	NA	Other	Stimulatory	Tcell	NA		Stimulatory	Other
HAVCR2	TIM-3	CoinhibitoryR	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor
HLA-A	HLA-A	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
HLA-B	HLA-B	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
HLA-C	HLA-C	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
HLA-DRA	HLA-DR	Ag presentation	NA	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
ICAM1	CD54	ICAM-1	NA	NA		ICAM-1	NA		NA	NA
ICOS	ICOS	CostimulatoryR	NA	Receptor	Stimulatory	CostimulatoryR.	NA		Stimulatory	Receptor
IDO1	IDO	Tryptophanmetabolism	NA	Other	Inhibitory	Tryptophanmetabolism	NA		Inhibitory	Other
IDO2	INDOL1	Tryptophanmetabolism	NA	NA		Tryptophanmetabolism	NA		NA	NA
IFNG	IFNG	InterferonTypeII	NA	NA		InterferonTypeII	NA		NA	NA
IFNGR1	CD119	IFNgR	NA	NA		IFNgR.	NA		NA	NA
IL2	IL2	NA	NA	NA		NA	NA		NA	NA
IL2RA	CD25	IL-2R	NA	Receptor	Stimulatory	IL-2R.	NA		Stimulatory	Receptor
IL3RA	CD123	pDC	NA	NA		IL-3R.	NA		NA	NA
IL7R	CD127	IL-7R	NA	NA		IL-7R.	NA		NA	NA
ITGAM	CD11b	ComplementR3	NA	NA		ComplementR.3	NA		NA	NA
ITGAX	CD11c	DCcells	NA	NA		DCcells	NA		NA	NA
LAG3	LAG-3	CoinhibitoryR	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor
MKI67	Ki-67	Proliferationmarker	NA	NA		Proliferationmarker	NA		NA	NA
MRC1	CD206	Mannosereceptor	NA	NA		Mannosereceptor	NA		NA	NA
MS4A1	CD20	Bcells	NA	NA		Bcells	NA		NA	NA
MSR1	CD204	ClassAS.R	NA	NA		ClassAS.R.	NA		NA	NA
NRP1	CD304	VEGFco-R	NA	NA		VEGFco-R.	NA		NA	NA
NT5E	CD73	Adenosinepathway	NA	Receptor	Inhibitory	Adenosinepathway	NA		Inhibitory	Receptor
PDCD1	PD-1	CoinhibitoryR	NA	Receptor	Inhibitory	CoinhibitoryR.	NA		Inhibitory	Receptor
PDCD1LG2	PD-L2	Coinhibitoryligand	NA	Co-inhibitor	Inhibitory	Coinhibitoryligand	NA		Inhibitory	Other
PRF1	NA	Tcell	NA	Other	Stimulatory	Tcell	NA		Stimulatory	Other
PTPRC	CD45	Panimmune	NA	NA		Panimmune	NA		NA	NA
SIGLEC1	CD169	Sialoadhesin	NA	NA		Sialoadhesin	NA		NA	NA
SLAMF7	SLAMF7	Costimulatoryligand	NA	NA		Costimulatoryligand	NA		NA	NA
TAP1	TAP1	Ag presentation	A	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
TAP2	TAP2	Ag presentation	A	Ag presentation	Other	Ag presentation	NA		Other	Ag presentation
TFRC	CD71	TransferrinR	NA	NA		TransferrinR.	NA		NA	NA
TGFB1	NA	TGFB	NA	NA		TGFBpathway	NA		NA	NA
