gene	alias	category	plot_cat	priority	role	checkpoint	category_orig	priority_orig	notes	checkpoint2	category3	role_orig
CXCL6	GCP-2	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL7	"NAP-2,CTAPIII,-Ta,PEP"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL8	"IL-8,NAP-1,MDNCF,GCP-1"	Chemokine	Chemokine	C	Chemokine	Other	Chemokine	C		NA	Chemokine	Chemokine
CXCL9	CXCL9	Chemokine	Chemokine	NA	Chemokine	Other	NA	NA		Activation	Chemokine	Chemokine
CCR1	CCR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR10	CCR10	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR2	CCR2	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR3	CCR3	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR4	CCR4	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR5	CCR5	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR6	CCR6	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR7	CCR7	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR8	CCR8	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CCR9	CCR9	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CX3CR1	CX3CR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR1	CXCR1	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR2	CXCR2	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR3	CXCR3	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR3B	CXCR3B	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR5	CXCR5	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR6	CXCR6	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
CXCR7	CXCR7	ChemokineR	ChemokineR	CR	Chemokine receptors	Other	ChemokineR	CR		NA	Chemokine receptors	Chemokine receptors
PDCD1LG2	PD-L2	Coinhibitor	Coinhibitor	NA	Co-inhibitor	Inhibitory	Coinhibitoryligand	NA		Inhibitory	Other	Co-inhibitor
CD80	CD80	Costimulator	Costimulator	NA	Co-stimulator	Stimulatory	Costimulatoryligand	NA		Stimulatory	Receptor	Co-stimulator
CD38	CD38	Adenosine	Adenosine	NA	NA		cADPribosehydrolase	NA		NA	NA	NA
MS4A1	CD20	Bcell	Bcell	NA	NA		Bcells	NA		NA	NA	NA
CCL1	"I-309,TCA-3"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CCL10	"MRP-2,CCF18,MIP-1?"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CCL12	MCP-5	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CCL6	"C10,MRP-2"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CCL9	"MRP-2,CCF18,MIP-1?"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CXCL14	"BRAK,bolekine"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CXCL15	"Lungkine,WECHE"	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CXCL4	PF-4	Chemokine	Chemokine	NA	NA		Chemokine	NA		NA	NA	NA
CXCR4	CXCR4	ChemokineR	ChemokineR	NA	NA		ChemokineR.4	NA		NA	NA	NA
MSR1	CD204	ClassAS.R	ClassAS.R	NA	NA		ClassAS.R.	NA		NA	NA	NA
CD36	CD36	ClassBS.R	ClassBS.R	NA	NA		ClassBS.R.	NA		NA	NA	NA
ITGAM	CD11b	ComplementR3	ComplementR3	NA	NA		ComplementR.3	NA		NA	NA	NA
C5AR1	CD88	ComplementR5	ComplementR5	NA	NA		ComplementR.5	NA		NA	NA	NA
CD86	CD86	Costimulator	Costimulator	NA	NA		Costimulatoryligand	NA		NA	NA	NA
SLAMF7	SLAMF7	Costimulator	Costimulator	NA	NA		Costimulatoryligand	NA		NA	NA	NA
ITGAX	CD11c	DCcells	DCcells	NA	NA		DCcells	NA		NA	NA	NA
FUT4	CD15	Granulocyte	Granulocyte	NA	NA		Granulocyte	NA		NA	NA	NA
ACTB	ActinB	Housekeeping	Housekeeping	NA	NA		Housekeeping	A		NA	Other	NA
GAPDH	GAPDH	Housekeeping	Housekeeping	NA	NA		housekeeping	NA		NA	NA	NA
ICAM1	CD54	ICAM-1	ICAM-1	NA	NA		ICAM-1	NA		NA	NA	NA
IFNG	IFNG	IFNG	IFNG	NA	NA		InterferonTypeII	NA		NA	NA	NA
IFNGR1	CD119	IFNG	IFNG	NA	NA		IFNgR.	NA		NA	NA	NA
IFNGR2	AF-1	IFNG	IFNG	D	NA							NA
JAK1	JAK1A	IFNG	IFNG	D	NA							NA
JAK2	JTK10	IFNG	IFNG	D	NA							NA
STAT1	STAT91	IFNG	IFNG	D	NA							NA
NLRC5	NOD27	IFNG	IFNG	D	NA							NA
FCGR1A	CD64	Ig	Ig	NA	NA		HighaffinityFCGR1a	NA		NA	NA	NA
IL7R	CD127	IL-7R	IL-7R	NA	NA		IL-7R.	NA		NA	NA	NA
CD14	CD14	LPSco-R	LPSco-R	NA	NA		LPSco-R.	NA		NA	NA	NA
MRC1	CD206	Mannosereceptor	Mannosereceptor	NA	NA		Mannosereceptor	NA		NA	NA	NA
EOMES	Eomes	Memory	Memory	NA	NA		ImmuneModulator/Memory	NA		NA	NA	NA
